entitytype,authoritydoc,authoritydocconceptschemename
ABSOLUTE DATING METHOD.E55,ABSOLUTE DATING METHOD AUTHORITY DOCUMENT.csv,SURVEY LA SOURCE DATA
ADMINISTRATIVE SUBDIVISION TYPE.E55,ADMINISTRATIVE SUBDIVISION TYPE AUTHORITY DOCUMENT.csv,SURVEY LA SOURCE DATA
ALTERATION TYPE.E55,ALTERATION AUTHORITY DOCUMENT.csv,SURVEY LA SOURCE DATA
ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPE.E55,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPE.csv,SURVEY LA SOURCE DATA
ARCHITECTURAL COMPONENT TYPE.E55,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,SURVEY LA SOURCE DATA
CENTURY.E55,CENTURY AUTHORITY DOCUMENT.csv,SURVEY LA SOURCE DATA
CONDITION TYPE.E55,CONDITION AUTHORITY DOCUMENT.csv,SURVEY LA SOURCE DATA
CONSTRUCTION TECHNIQUE.E55,CONSTRUCTION TECHNIQUE AUTHORITY DOCUMENT.csv,SURVEY LA SOURCE DATA
CRITERIA TYPE.E55,CRITERIA TYPE AUTHORITY DOCUMENT.csv,SURVEY LA SOURCE DATA
CULTURAL PERIOD.E55,CULTURAL PERIOD AUTHORITY DOCUMENT.csv,SURVEY LA SOURCE DATA
DISTURBANCE TYPE.E55,DISTURBANCE TYPE AUTHORITY DOCUMENT.csv,SURVEY LA SOURCE DATA
EVALUATION CRITERIA TYPE.E55,EVALUATION CRITERIA TYPE AUTHORITY DOCUMENT.csv,SURVEY LA SOURCE DATA
EXTERNAL XREF TYPE.E55,EXTERNAL XREF TYPE AUTHORITY DOCUMENT.csv,SURVEY LA SOURCE DATA
GEOMETRY QUALIFIER.E55,GEOMETRY QUALIFIER AUTHORITY DOCUMENT.csv,SURVEY LA SOURCE DATA
HISTORIC DISTRICT TYPE.E55,HISTORIC DISTRICT TYPE AUTHORITY DOCUMENT.csv,SURVEY LA SOURCE DATA
HISTORIC DISTRICT USE TYPE.E55,HISTORIC DISTRICT USE TYPE AUTHORITY DOCUMENT.csv,SURVEY LA SOURCE DATA
IDENTIFIER TYPE.E55,IDENTIFIER TYPE AUTHORITY DOCUMENT.csv,SURVEY LA SOURCE DATA
INFORMATION CARRIER FORMAT TYPE.E55,INFORMATION CARRIER FORMAT TYPE AUTHORITY DOCUMENT.csv,SURVEY LA SOURCE DATA
INFORMATION RESOURCE TYPE.E55,INFORMATION RESOURCE TYPE AUTHORITY DOCUMENT.csv,SURVEY LA SOURCE DATA
LANGUAGE.E55,LANGUAGE AUTHORITY DOCUMENT.csv,SURVEY LA SOURCE DATA
MEASUREMENT TYPE.E55,MEASUREMENT TYPE AUTHORITY DOCUMENT.csv,SURVEY LA SOURCE DATA
NAME TYPE.E55,NAME TYPE AUTHORITY DOCUMENT.csv,SURVEY LA SOURCE DATA
ORGANIZATION TYPE.E55,ORGANIZATION TYPE AUTHORITY DOCUMENT.csv,SURVEY LA SOURCE DATA
PERSON TYPE.E55,PERSON TYPE AUTHORITY DOCUMENT.csv,SURVEY LA SOURCE DATA
PLAN TYPE.E55,PLAN TYPE AUTHORITY DOCUMENT.csv,SURVEY LA SOURCE DATA
RECOMMENDATION TYPE.E55,RECOMMENDATION TYPE AUTHORITY DOCUMENT.csv,SURVEY LA SOURCE DATA
RELATED FEATURE TYPE.E55,RELATED FEATURE TYPE AUTHORITY DOCUMENT.csv,SURVEY LA SOURCE DATA
RESOURCE TYPE CLASSIFICATION.E55,RESOURCE TYPE CLASSIFICATION AUTHORITY DOCUMENT.csv,SURVEY LA SOURCE DATA
RIGHT TYPE.E55,RIGHT TYPE AUTHORITY DOCUMENT.csv,SURVEY LA SOURCE DATA
SUBJECT.E55,SUBJECT AUTHORITY DOCUMENT.csv,SURVEY LA SOURCE DATA
THREAT TYPE.E55,THREAT TYPE AUTHORITY DOCUMENT.csv,SURVEY LA SOURCE DATA
TITLE TYPE.E55,TITLE TYPE AUTHORITY DOCUMENT.csv,SURVEY LA SOURCE DATA
TITLE.E55,TITLE AUTHORITY DOCUMENT.csv,SURVEY LA SOURCE DATA
TYPE OF DESIGNATION OR PROTECTION.E55,TYPE OF DESIGNATION OR PROTECTION AUTHORITY DOCUMENT.csv,SURVEY LA SOURCE DATA